346	Ratio H/L type HeLa_CX_2h_R5
347	Occupancy L HeLa_CX_2h_R5
348	Occupancy H HeLa_CX_2h_R5
349	Ratio H/L HeLa_CX_2h_R6
350	Ratio H/L HeLa_CX_2h_R6___1
351	Ratio H/L HeLa_CX_2h_R6___2
352	Ratio H/L HeLa_CX_2h_R6___3
353	Ratio H/L normalized HeLa_CX_2h_R6
354	Ratio H/L normalized HeLa_CX_2h_R6___1
355	Ratio H/L normalized HeLa_CX_2h_R6___2
356	Ratio H/L normalized HeLa_CX_2h_R6___3
357	Ratio H/L unmod. pep. HeLa_CX_2h_R6
358	Ratio H/L localized HeLa_CX_2h_R6
359	Ratio H/L nmods HeLa_CX_2h_R6
360	Ratio H/L variability [%] HeLa_CX_2h_R6
361	Ratio H/L count HeLa_CX_2h_R6
362	Ratio H/L iso-count HeLa_CX_2h_R6
363	Ratio H/L type HeLa_CX_2h_R6
364	Occupancy L HeLa_CX_2h_R6
365	Occupancy H HeLa_CX_2h_R6
366	Ratio H/L HeLa_CX_3h_R1
367	Ratio H/L HeLa_CX_3h_R1___1
368	Ratio H/L HeLa_CX_3h_R1___2
369	Ratio H/L HeLa_CX_3h_R1___3
370	Ratio H/L normalized HeLa_CX_3h_R1
371	Ratio H/L normalized HeLa_CX_3h_R1___1
372	Ratio H/L normalized HeLa_CX_3h_R1___2
373	Ratio H/L normalized HeLa_CX_3h_R1___3
374	Ratio H/L unmod. pep. HeLa_CX_3h_R1
375	Ratio H/L localized HeLa_CX_3h_R1
376	Ratio H/L nmods HeLa_CX_3h_R1
377	Ratio H/L variability [%] HeLa_CX_3h_R1
378	Ratio H/L count HeLa_CX_3h_R1
379	Ratio H/L iso-count HeLa_CX_3h_R1
380	Ratio H/L type HeLa_CX_3h_R1
381	Occupancy L HeLa_CX_3h_R1
382	Occupancy H HeLa_CX_3h_R1
383	Ratio H/L HeLa_CX_3h_R2
384	Ratio H/L HeLa_CX_3h_R2___1
385	Ratio H/L HeLa_CX_3h_R2___2
386	Ratio H/L HeLa_CX_3h_R2___3
387	Ratio H/L normalized HeLa_CX_3h_R2
388	Ratio H/L normalized HeLa_CX_3h_R2___1
389	Ratio H/L normalized HeLa_CX_3h_R2___2
390	Ratio H/L normalized HeLa_CX_3h_R2___3
391	Ratio H/L unmod. pep. HeLa_CX_3h_R2
392	Ratio H/L localized HeLa_CX_3h_R2
393	Ratio H/L nmods HeLa_CX_3h_R2
394	Ratio H/L variability [%] HeLa_CX_3h_R2
395	Ratio H/L count HeLa_CX_3h_R2
396	Ratio H/L iso-count HeLa_CX_3h_R2
397	Ratio H/L type HeLa_CX_3h_R2
398	Occupancy L HeLa_CX_3h_R2
399	Occupancy H HeLa_CX_3h_R2
400	Ratio H/L HeLa_CX_3h_R3
401	Ratio H/L HeLa_CX_3h_R3___1
402	Ratio H/L HeLa_CX_3h_R3___2
403	Ratio H/L HeLa_CX_3h_R3___3
404	Ratio H/L normalized HeLa_CX_3h_R3
405	Ratio H/L normalized HeLa_CX_3h_R3___1
406	Ratio H/L normalized HeLa_CX_3h_R3___2
407	Ratio H/L normalized HeLa_CX_3h_R3___3
408	Ratio H/L unmod. pep. HeLa_CX_3h_R3
409	Ratio H/L localized HeLa_CX_3h_R3
410	Ratio H/L nmods HeLa_CX_3h_R3
411	Ratio H/L variability [%] HeLa_CX_3h_R3
412	Ratio H/L count HeLa_CX_3h_R3
413	Ratio H/L iso-count HeLa_CX_3h_R3
414	Ratio H/L type HeLa_CX_3h_R3
415	Occupancy L HeLa_CX_3h_R3
416	Occupancy H HeLa_CX_3h_R3
417	Ratio H/L HeLa_CX_3h_R4
418	Ratio H/L HeLa_CX_3h_R4___1
419	Ratio H/L HeLa_CX_3h_R4___2
420	Ratio H/L HeLa_CX_3h_R4___3
421	Ratio H/L normalized HeLa_CX_3h_R4
422	Ratio H/L normalized HeLa_CX_3h_R4___1
423	Ratio H/L normalized HeLa_CX_3h_R4___2
424	Ratio H/L normalized HeLa_CX_3h_R4___3
425	Ratio H/L unmod. pep. HeLa_CX_3h_R4
426	Ratio H/L localized HeLa_CX_3h_R4
427	Ratio H/L nmods HeLa_CX_3h_R4
428	Ratio H/L variability [%] HeLa_CX_3h_R4
429	Ratio H/L count HeLa_CX_3h_R4
430	Ratio H/L iso-count HeLa_CX_3h_R4
431	Ratio H/L type HeLa_CX_3h_R4
432	Occupancy L HeLa_CX_3h_R4
433	Occupancy H HeLa_CX_3h_R4
434	Ratio H/L HeLa_CX_3h_R5
435	Ratio H/L HeLa_CX_3h_R5___1
436	Ratio H/L HeLa_CX_3h_R5___2
437	Ratio H/L HeLa_CX_3h_R5___3
438	Ratio H/L normalized HeLa_CX_3h_R5
439	Ratio H/L normalized HeLa_CX_3h_R5___1
440	Ratio H/L normalized HeLa_CX_3h_R5___2
441	Ratio H/L normalized HeLa_CX_3h_R5___3
442	Ratio H/L unmod. pep. HeLa_CX_3h_R5
443	Ratio H/L localized HeLa_CX_3h_R5
444	Ratio H/L nmods HeLa_CX_3h_R5
445	Ratio H/L variability [%] HeLa_CX_3h_R5
446	Ratio H/L count HeLa_CX_3h_R5
447	Ratio H/L iso-count HeLa_CX_3h_R5
448	Ratio H/L type HeLa_CX_3h_R5
449	Occupancy L HeLa_CX_3h_R5
450	Occupancy H HeLa_CX_3h_R5
451	Ratio H/L HeLa_CX_3h_R6
452	Ratio H/L HeLa_CX_3h_R6___1
453	Ratio H/L HeLa_CX_3h_R6___2
454	Ratio H/L HeLa_CX_3h_R6___3
455	Ratio H/L normalized HeLa_CX_3h_R6
456	Ratio H/L normalized HeLa_CX_3h_R6___1
457	Ratio H/L normalized HeLa_CX_3h_R6___2
458	Ratio H/L normalized HeLa_CX_3h_R6___3
459	Ratio H/L unmod. pep. HeLa_CX_3h_R6
460	Ratio H/L localized HeLa_CX_3h_R6
461	Ratio H/L nmods HeLa_CX_3h_R6
462	Ratio H/L variability [%] HeLa_CX_3h_R6
463	Ratio H/L count HeLa_CX_3h_R6
464	Ratio H/L iso-count HeLa_CX_3h_R6
465	Ratio H/L type HeLa_CX_3h_R6
466	Occupancy L HeLa_CX_3h_R6
